00TI               20241203                                                                                   
0601TIA0N       20250101001410100000005000 0000000000001850   
0601TIA0N       20250101001415100000005000 0000000000001860   
0601TIA0N       20250101001420100000005000 0000000000001860   
0601TIA0N       20250101001425100000005000 0000000000001860   
0601TIA0N       20250101001430100000005000 0000000000001870   
0601TIA0N       20250101001435100000005000 0000000000001870   
0601TIA0N       20250101001440100000005000 0000000000001870   
0601TIA0N       20250101001445100000005000 0000000000001880   
0601TIA0N       20250101001450100000005000 0000000000001880   
0601TIA0N       20250101001455100000005000 0000000000001880   
0601TIA0N       20250101001460100000005000 0000000000001890   
0601TIA0N       20250101001465100000005000 0000000000001890   
0601TIA0N       20250101001470100000005000 0000000000001900   
0601TIA0N       20250101001475100000005000 0000000000001900   
0601TIA0N       20250101001480100000005000 0000000000001900   
0601TIA0N       20250101001485100000005000 0000000000001910   
0601TIA0N       20250101001490100000005000 0000000000001910   
0601TIA0N       20250101001495100000005000 0000000000001920   
0601TIA0N       20250101001500100000005000 0000000000001920   
0601TIA0N       20250101001505100000005000 0000000000001920   
0601TIA0N       20250101001510100000005000 0000000000001930   
0601TIA0N       20250101001515100000005000 0000000000001930   
0601TIA0N       20250101001520100000005000 0000000000001930   
0601TIA0N       20250101001525100000005000 0000000000001940   
0601TIA0N       20250101001530100000005000 0000000000001940   
0601TIA0N       20250101001535100000005000 0000000000001950   
0601TIA0N       20250101001540100000005000 0000000000001950   
0601TIA0N       20250101001545100000005000 0000000000001950   
0601TIA0N       20250101001550100000005000 0000000000001960   
0601TIA0N       20250101001555100000005000 0000000000001960   
0601TIA0N       20250101001560100000005000 0000000000001960   
0601TIA0N       20250101001565100000005000 0000000000001970   
0601TIA0N       20250101001570100000005000 0000000000001970   
0601TIA0N       20250101001575100000005000 0000000000001970   
0601TIA0N       20250101001580100000005000 0000000000001980   
0601TIA0N       20250101001585100000005000 0000000000001980   
0601TIA0N       20250101001590100000005000 0000000000001980   
0601TIA0N       20250101001595100000005000 0000000000001990   
0601TIA0N       20250101001600100000005000 0000000000001990   
0601TIA0N       20250101001605100000005000 0000000000001990   
0601TIA0N       20250101001610100000005000 0000000000002000   
0601TIA0N       20250101001615100000005000 0000000000002000   
0601TIA0N       20250101001620100000005000 0000000000002000   
0601TIA0N       20250101001625100000005000 0000000000002010   
0601TIA0N       20250101001630100000005000 0000000000002010   
0601TIA0N       20250101001635100000005000 0000000000002010   
0601TIA0N       20250101001640100000005000 0000000000002020   
0601TIA0N       20250101001645100000005000 0000000000002020   
0601TIA0N       20250101001650100000005000 0000000000002020   
0601TIA0N       20250101001655100000005000 0000000000002030   
0601TIA0N       20250101001660100000005000 0000000000002030   
0601TIA0N       20250101001665100000005000 0000000000002030   
0601TIA0N       20250101001670100000005000 0000000000002040   
0601TIA0N       20250101001675100000005000 0000000000002040   
0601TIA0N       20250101001680100000005000 0000000000002040   
0601TIA0N       20250101001685100000005000 0000000000002040   
0601TIA0N       20250101001690100000005000 0000000000002050   
0601TIA0N       20250101001695100000005000 0000000000002050   
0601TIA0N       20250101001700100000005000 0000000000002050   
